All Combined Audio Information:
Total combinations generated: 50
===================================
Combination 	Output file 	Source A file 	Source A Env 	Source A Dist(km) 	Source A Depth(m) 	Source B file 	Source B Env 	Source B Dist(km) 	Source B Depth(m)
19	 combined_019.wav	 1_0_9.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_7.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
20	 combined_020.wav	 1_0_7.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_8.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
21	 combined_021.wav	 1_0_2.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_12.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
22	 combined_022.wav	 1_0_24.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_4.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
23	 combined_023.wav	 1_0_16.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_8.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
24	 combined_024.wav	 1_0_5.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_4.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
25	 combined_025.wav	 1_0_7.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_5.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
26	 combined_026.wav	 1_0_11.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_7.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
27	 combined_027.wav	 1_0_21.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_3.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
28	 combined_028.wav	 1_0_8.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_5.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
29	 combined_029.wav	 1_0_11.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_11.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
30	 combined_030.wav	 1_0_11.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_11.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
31	 combined_031.wav	 1_0_9.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_3.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
32	 combined_032.wav	 1_0_10.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_8.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
33	 combined_033.wav	 1_0_23.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_7.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
34	 combined_034.wav	 1_0_7.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_3.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
35	 combined_035.wav	 1_0_14.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_15.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
36	 combined_036.wav	 1_0_3.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_14.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
37	 combined_037.wav	 1_0_25.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_15.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
38	 combined_038.wav	 1_0_18.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_6.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
39	 combined_039.wav	 1_0_4.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_5.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
40	 combined_040.wav	 1_0_10.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_12.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
41	 combined_041.wav	 1_0_24.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_2.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
42	 combined_042.wav	 1_0_22.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_1.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
43	 combined_043.wav	 1_0_5.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_4.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
44	 combined_044.wav	 1_0_11.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_2.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
45	 combined_045.wav	 1_0_6.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_8.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
46	 combined_046.wav	 1_0_20.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_3.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
47	 combined_047.wav	 1_0_13.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_9.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
48	 combined_048.wav	 1_0_2.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_7.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
49	 combined_049.wav	 1_0_14.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_3.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
50	 combined_050.wav	 1_0_16.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_15.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
